international,hours_study,missed_classes,gpa,showers_per_week,does_smoke,does_homework,has_stress,avg_sleep,confidence,passed
1,6.93,3,2.34,2,0,0,0,6.97,medium,1
1,5.05,2,3.83,7,0,1,1,7.84,high,1
0,5.67,7,3.42,4,0,1,1,4.06,medium,1
1,14.62,9,3.06,0,0,1,0,5.86,low,1
0,13.05,5,1.45,7,1,1,0,6.98,medium,1
1,12.07,4,3.47,5,0,1,0,7.5,low,1
0,9.07,8,3.53,2,0,1,0,2.41,low,0
0,15.84,1,0.96,7,0,1,0,5.12,medium,1
0,3.04,2,2.28,6,0,0,1,4.71,low,0
0,4.51,3,2.6,1,1,0,0,1.24,medium,0
1,12.59,5,3.47,0,0,1,0,2.5,low,1
0,1.33,6,3.03,1,0,1,1,3.91,medium,0
0,1.28,2,1.42,3,0,1,0,5.36,high,0
0,12.61,3,3.52,6,0,1,0,6.46,medium,1
0,9.47,7,2.48,0,0,1,1,6.42,low,1
1,3.38,8,3.77,2,0,1,1,6.51,medium,1
0,10.13,13,2.61,6,0,1,1,6.64,low,0
0,14.28,13,1.63,6,0,1,0,5.16,low,0
0,8.36,14,3.1,1,1,1,0,5.04,high,1
1,3.54,2,3.91,5,0,0,0,1.76,high,1
0,3.24,12,2.34,0,0,1,0,5.08,medium,0
0,0.65,10,1.79,5,0,1,1,5.66,medium,0
0,12.31,0,3.53,7,0,1,0,4.17,low,1
0,13.4,15,1.42,2,1,0,0,2.34,low,0
0,13.94,4,1.34,7,0,1,1,5.28,high,1
0,18.58,8,2.29,0,0,1,1,1.34,medium,1
1,19.22,9,2.16,4,1,1,1,3.03,medium,1
0,14.99,8,2.17,6,0,1,0,7.34,medium,0
0,18.18,10,1.34,6,0,1,0,5.58,medium,1
0,12.08,0,3.78,2,0,1,0,5.7,low,1
0,15.0,1,2.55,7,0,1,1,1.11,medium,1
0,19.08,0,3.35,5,0,1,0,7.38,medium,1
1,9.43,11,2.36,4,0,1,0,5.79,high,1
0,3.13,8,1.46,6,0,1,1,2.04,high,0
0,12.74,5,3.93,6,0,1,1,2.26,low,1
0,3.4,0,2.73,0,0,0,1,5.95,medium,0
0,9.63,14,2.17,3,0,1,1,5.03,medium,0
0,4.79,5,1.74,7,1,1,1,7.12,medium,0
0,14.91,4,3.71,6,0,0,0,2.88,medium,1
0,12.6,9,2.91,7,0,1,1,4.46,high,1
0,6.61,11,1.64,5,0,1,0,1.45,high,0
0,8.23,9,1.03,3,0,1,1,3.63,medium,0
1,6.38,3,1.27,5,0,0,1,1.76,medium,1
1,4.72,9,2.97,5,0,0,1,4.61,medium,0
0,16.62,2,2.16,6,0,1,1,5.81,medium,0
0,5.64,11,1.83,3,0,0,1,6.16,low,0
0,9.39,0,3.12,3,0,0,0,2.57,high,1
1,5.97,9,2.42,3,0,1,0,5.66,medium,0
0,0.0,4,1.51,2,0,1,0,3.84,low,0
1,10.22,0,1.33,2,0,0,0,4.42,medium,1
0,16.8,15,1.66,3,1,1,0,2.39,high,0
1,9.96,3,3.84,1,0,1,1,5.76,low,1
0,3.57,14,1.57,3,0,1,0,1.53,low,0
0,8.65,8,1.85,3,1,1,0,3.88,medium,0
0,9.77,2,2.98,3,0,0,1,5.44,medium,1
0,3.54,8,3.08,5,0,1,1,6.19,medium,0
0,4.28,3,2.48,2,0,1,0,1.18,medium,1
0,9.53,2,2.74,0,0,1,1,2.39,medium,1
1,16.72,14,1.69,7,0,1,0,5.34,medium,0
0,10.45,13,1.53,2,0,0,0,1.57,high,0
0,8.59,12,2.16,2,0,0,0,6.44,medium,0
0,6.95,10,3.62,2,0,1,0,5.04,medium,1
0,6.04,14,2.01,0,0,0,0,6.0,medium,0
0,12.19,10,2.71,1,0,1,1,1.74,medium,1
0,2.69,5,2.48,3,0,1,0,2.78,high,1
1,1.42,6,2.54,4,1,1,0,5.12,low,0
1,16.11,13,1.92,4,0,1,0,6.63,high,1
0,16.7,7,1.04,5,0,1,1,3.96,medium,1
1,12.47,7,1.54,0,0,1,0,1.41,medium,1
0,7.17,11,3.76,5,1,1,1,4.01,medium,1
0,10.87,12,2.39,4,1,0,1,4.22,medium,0
1,3.02,15,2.77,5,0,1,0,7.21,medium,0
1,13.81,7,2.0,1,0,1,0,3.84,medium,1
0,3.46,11,3.18,7,1,1,0,2.61,medium,0
0,4.92,12,1.74,1,0,1,0,5.2,high,0
0,18.08,14,3.28,6,0,0,0,3.74,high,1
0,18.31,5,3.32,5,0,1,0,2.7,low,1
0,2.48,3,3.73,4,0,1,1,3.86,medium,1
0,2.28,11,3.57,1,0,0,0,6.58,medium,0
0,13.62,3,2.54,4,0,1,0,7.65,medium,1
1,5.39,9,3.52,0,1,1,1,5.97,medium,1
0,10.26,5,3.8,1,0,1,1,5.68,medium,1
1,6.6,9,2.52,6,1,1,1,3.08,medium,0
0,17.4,5,1.49,5,0,1,0,1.13,low,1
1,11.14,4,1.35,7,0,1,0,7.12,medium,1
0,4.93,14,2.17,4,0,0,1,4.13,medium,0
0,5.27,1,1.93,4,0,0,0,1.94,low,0
0,15.37,13,3.37,7,0,0,0,3.24,medium,1
0,14.2,0,2.63,7,0,1,1,7.62,medium,1
0,8.42,8,1.83,6,1,1,0,5.47,medium,0
0,19.04,1,3.96,3,0,0,0,5.23,high,1
0,13.88,6,3.1,0,0,1,1,7.37,medium,1
0,19.46,6,3.38,0,0,1,1,7.13,medium,1
0,10.55,4,1.46,6,0,1,0,2.58,high,1
1,15.48,5,2.61,7,0,1,1,4.38,low,1
0,11.07,7,2.42,6,0,1,1,2.32,low,0
0,13.79,4,3.48,4,1,1,0,5.44,medium,1
0,7.02,13,1.18,0,0,0,0,1.54,low,0
0,8.57,12,1.67,0,1,1,1,4.57,low,0
0,19.68,1,2.53,4,1,1,0,5.63,medium,1
1,13.48,2,2.2,1,1,0,1,4.55,medium,1
0,1.87,1,1.36,4,0,1,1,2.83,medium,0
0,12.16,9,3.53,1,0,1,1,4.39,high,1
0,15.92,9,3.01,2,0,1,0,7.72,high,1
0,3.23,8,1.99,5,0,1,0,1.55,high,0
0,13.69,10,3.11,7,0,0,0,7.89,medium,1
0,15.2,8,3.88,7,0,1,0,4.75,high,1
1,8.04,14,3.29,2,0,0,0,5.48,high,0
0,17.06,4,3.54,7,0,0,0,1.49,low,1
0,2.12,5,3.14,4,0,1,0,6.97,high,1
0,5.14,8,1.51,7,0,1,1,7.7,high,0
0,9.69,2,2.74,3,0,0,0,5.33,low,1
0,18.1,6,1.05,1,0,1,0,1.41,low,1
1,10.06,6,3.59,5,1,0,0,4.59,medium,0
0,15.23,11,2.21,7,0,1,0,4.41,medium,1
0,19.21,5,1.56,1,0,1,0,7.65,high,1
0,5.03,4,2.62,4,0,1,0,5.79,low,1
0,7.6,3,1.92,0,0,1,0,4.31,high,1
0,16.41,0,1.66,0,0,1,0,1.85,high,1
1,0.74,5,1.38,3,0,1,0,4.99,medium,0
0,3.47,2,3.67,1,0,0,0,7.05,low,1
0,16.8,15,4.0,4,0,0,0,7.94,low,1
1,18.07,10,3.74,0,1,1,0,4.51,high,1
0,17.65,1,2.62,2,0,1,1,3.77,low,1
1,15.02,7,2.25,2,1,1,1,7.48,low,1
0,17.85,8,3.28,6,0,0,0,4.0,medium,1
0,11.13,13,1.67,0,0,1,1,5.11,medium,0
0,9.15,3,2.23,0,0,1,0,3.12,medium,1
1,6.94,0,1.81,5,0,1,0,1.05,medium,1
0,9.96,11,2.8,6,1,1,0,2.23,high,1
1,7.94,4,3.57,3,0,1,1,3.92,low,1
0,20.03,7,3.38,6,0,0,1,7.93,medium,1
0,13.52,1,2.89,5,0,1,0,3.29,high,1
0,1.39,14,2.91,3,0,1,1,5.76,medium,0
0,9.15,5,3.87,2,0,1,1,2.94,low,1
0,18.21,13,3.74,1,1,1,0,3.81,low,1
1,2.9,9,3.7,0,0,1,1,7.96,medium,1
0,8.84,13,3.83,3,0,0,0,5.78,high,1
0,3.19,5,3.91,2,0,0,0,6.23,low,1
0,1.34,1,1.6,7,0,0,0,1.32,medium,0
0,7.45,10,1.68,4,0,1,0,3.19,medium,0
1,4.9,10,1.67,0,0,1,0,5.92,medium,0
1,18.56,15,3.34,5,0,0,0,1.14,medium,1
0,3.95,15,2.72,4,0,1,0,2.27,low,0
0,5.83,0,2.22,4,0,1,0,6.95,medium,1
0,4.46,9,3.65,4,0,1,0,6.34,medium,1
1,1.77,9,1.08,5,0,1,1,5.78,high,0
0,17.79,8,1.5,6,0,1,0,7.65,low,1
1,14.39,7,1.81,2,0,1,0,2.58,medium,1
0,11.66,14,3.02,6,0,0,1,5.92,medium,1
0,9.74,0,1.77,7,0,0,1,1.36,medium,0
1,3.25,5,1.64,6,0,1,1,4.81,low,0
0,3.8,14,3.37,7,0,0,0,1.95,medium,0
0,14.69,4,2.99,3,1,1,0,6.07,low,1
1,17.89,6,1.38,1,0,0,0,5.07,low,0
1,9.41,8,1.7,6,0,1,1,5.27,medium,0
0,18.34,1,3.31,7,0,0,1,7.06,high,1
1,6.06,0,3.49,2,0,0,1,6.98,medium,1
0,9.07,1,1.55,6,0,1,0,4.45,medium,1
0,4.13,5,2.18,5,0,1,1,7.15,low,0
0,4.21,0,2.22,2,0,1,1,5.9,high,1
0,12.26,3,2.66,4,0,0,0,2.15,medium,1
1,8.14,11,2.23,4,0,1,0,4.55,low,0
0,11.33,0,3.52,6,0,1,1,8.01,low,1
1,9.87,8,1.3,3,0,1,0,5.92,low,0
0,0.95,6,2.34,0,0,1,0,5.79,medium,0
1,3.5,13,3.49,4,0,1,1,6.99,medium,1
0,1.39,14,1.56,3,0,0,0,4.34,low,1
0,9.66,1,1.22,6,1,1,1,7.38,high,1
0,3.79,11,1.76,3,0,1,0,6.71,low,1
0,1.54,10,2.29,0,0,1,1,1.12,medium,0
0,0.42,15,2.9,5,0,0,0,6.01,medium,0
1,14.5,9,3.47,4,0,0,0,3.44,high,1
0,8.17,13,3.85,4,0,0,1,7.92,medium,0
0,6.59,11,2.68,5,0,1,0,4.93,high,1
0,11.78,10,2.02,5,0,0,0,6.93,medium,0
1,13.37,14,2.33,5,0,0,0,1.72,medium,0
1,0.25,3,1.04,1,0,0,0,4.3,medium,0
0,14.48,3,2.43,2,0,1,1,5.04,medium,1
0,5.95,10,3.61,4,0,0,1,3.77,medium,0
0,12.71,3,2.06,0,0,1,1,6.05,high,1
0,3.06,11,1.28,0,0,1,1,3.14,medium,0
1,10.27,14,2.56,2,1,1,1,3.82,medium,0
1,0.0,7,1.56,3,0,1,1,5.94,medium,0
0,7.26,8,2.22,6,0,0,0,7.46,medium,0
0,0.72,5,2.13,7,0,0,0,7.82,high,0
0,3.47,5,1.57,3,0,1,1,2.1,medium,0
0,18.87,9,1.9,3,0,1,0,4.88,medium,1
0,3.29,0,2.07,4,0,1,0,4.07,high,1
0,9.77,2,1.66,6,0,1,0,1.56,high,0
0,18.61,5,3.58,7,0,1,0,4.32,high,1
0,14.3,2,3.39,5,1,0,1,6.31,low,1
0,8.46,9,1.01,3,1,1,0,6.04,medium,0
0,9.36,2,1.36,6,0,1,1,6.89,medium,1
0,14.5,9,3.24,0,0,1,1,3.14,low,0
0,14.53,11,2.91,7,1,0,0,2.86,medium,1
0,11.16,10,1.88,2,0,1,1,6.51,high,0
0,16.95,7,1.15,5,1,1,1,5.76,medium,1
0,3.08,13,1.51,4,0,1,1,4.72,medium,0
1,17.56,6,3.37,5,0,1,0,1.48,high,1
1,7.44,2,2.6,0,0,0,1,4.08,medium,0
0,10.15,8,3.37,0,0,1,0,6.35,medium,1
0,11.98,6,3.94,2,0,1,0,3.63,high,1
1,12.55,4,3.95,2,0,1,1,5.83,medium,1
1,4.61,5,1.66,1,0,1,0,6.12,medium,1
0,14.46,9,1.1,7,0,1,1,3.83,low,0
0,16.98,7,4.0,3,0,1,0,1.55,medium,1
0,3.08,2,3.53,5,0,1,1,3.96,low,0
0,18.15,3,2.6,5,0,1,1,6.92,high,1
0,16.52,8,2.54,0,1,0,0,1.52,low,1
0,3.04,6,2.07,2,0,1,1,2.66,low,1
0,4.85,2,2.8,6,0,1,0,4.64,low,1
0,5.27,4,2.89,7,0,0,0,7.44,medium,1
0,1.36,3,2.45,5,1,1,0,7.65,low,1
0,18.34,11,3.06,5,0,1,0,6.12,low,1
1,18.98,9,1.34,5,0,1,1,5.28,high,1
0,8.62,6,3.47,1,0,1,1,1.53,medium,1
0,10.82,8,3.65,5,0,1,1,7.12,high,1
0,17.05,14,3.59,1,0,1,0,2.34,medium,1
0,1.43,10,3.73,0,0,1,1,6.18,low,0
0,11.55,4,1.18,1,0,1,0,1.17,high,1
0,12.4,3,1.4,6,0,1,1,5.81,medium,0
0,6.3,13,1.29,2,1,1,0,5.29,medium,0
0,14.59,15,2.43,4,0,1,0,3.41,medium,0
0,10.59,7,3.56,0,0,1,1,5.01,medium,1
0,5.85,5,3.18,1,0,1,0,6.39,high,1
0,1.68,1,3.15,3,0,1,0,5.14,medium,1
0,1.01,11,3.57,2,0,1,0,5.51,low,1
0,4.93,14,1.23,2,0,1,0,1.22,high,0
0,18.9,12,3.72,3,0,1,0,2.89,medium,1
0,15.29,10,1.49,6,0,0,0,3.72,high,0
1,3.72,9,3.34,5,0,0,1,7.99,medium,0
0,9.98,3,1.41,4,0,0,0,3.77,medium,0
0,13.82,7,3.44,0,0,1,1,5.67,medium,1
0,3.3,3,1.42,2,0,0,0,6.46,low,0
0,13.11,6,2.2,0,1,1,0,5.81,low,1
0,18.25,4,2.56,0,0,1,1,6.74,medium,1
0,19.49,6,1.75,5,0,0,1,7.42,low,1
0,12.84,13,2.73,4,0,1,1,6.81,medium,1
0,1.2,7,2.42,0,0,1,0,1.07,medium,1
0,3.63,3,1.29,1,0,0,0,2.08,high,0
0,19.44,11,3.59,7,0,1,1,2.77,medium,0
0,0.83,7,3.8,4,0,1,1,1.5,high,0
0,8.79,8,1.91,6,0,1,0,5.78,low,0
0,17.07,6,2.1,1,0,1,0,3.03,low,1
0,4.82,1,3.83,5,0,1,1,3.36,low,1
0,20.2,14,2.99,3,0,0,0,5.5,medium,1
1,3.16,3,3.11,3,0,0,1,2.44,medium,0
0,1.22,0,1.67,2,0,0,1,7.61,high,0
0,5.01,7,2.48,3,1,1,1,2.31,medium,0
0,9.07,12,2.95,0,0,1,1,2.34,medium,0
1,18.79,13,2.85,0,0,1,0,2.72,low,1
1,18.45,1,3.94,4,0,0,0,6.31,high,1
0,19.5,2,3.85,4,0,1,0,2.85,medium,1
0,0.57,6,2.68,5,0,0,0,3.98,high,0
0,17.47,9,3.1,5,0,1,0,0.9,high,1
0,6.76,8,3.49,1,0,0,0,1.17,medium,0
1,17.09,14,3.69,3,0,1,1,6.69,high,1
1,13.73,11,1.56,0,0,0,1,7.28,medium,0
0,9.87,1,3.74,2,0,1,0,3.95,high,1
0,2.64,0,2.37,1,0,1,0,7.51,high,1
1,11.26,0,3.53,4,0,0,1,5.86,high,1
0,12.96,7,1.77,3,1,0,1,5.59,medium,0
0,10.88,0,3.36,7,0,1,0,2.94,high,1
0,7.25,2,1.45,5,0,1,1,1.93,medium,0
0,5.88,8,3.33,5,0,1,1,4.51,medium,1
0,9.56,14,2.17,4,0,1,0,4.82,medium,0
0,11.31,1,2.05,5,1,1,0,7.89,medium,1
0,12.59,4,1.32,1,0,1,0,3.17,medium,1
0,10.79,8,2.3,2,0,1,0,6.83,medium,1
1,9.25,5,2.27,5,0,1,0,8.11,medium,1
0,10.88,6,2.15,1,0,0,0,4.5,medium,0
1,18.75,2,3.53,2,1,1,1,1.09,low,1
0,9.7,3,1.12,2,0,1,0,1.06,medium,0
0,8.07,9,1.35,3,0,0,1,1.32,low,0
1,5.34,10,3.74,0,0,1,1,1.93,medium,1
0,5.4,5,3.21,7,0,1,1,1.68,high,1
1,2.2,14,2.33,4,0,1,1,7.48,high,0
0,0.41,13,1.7,6,1,0,1,6.84,medium,0
0,4.62,1,3.03,5,0,1,0,6.02,low,1
0,0.7,7,2.46,4,0,1,1,5.51,high,0
0,10.66,1,2.95,3,1,0,1,7.47,medium,1
0,5.74,2,1.1,5,0,1,0,3.52,medium,0
0,3.11,8,3.11,6,0,0,1,4.22,medium,1
0,4.97,10,1.37,4,0,1,0,6.23,high,0
1,15.58,3,3.49,4,0,1,0,4.68,medium,1
0,14.56,0,2.39,1,1,1,1,3.75,high,1
1,7.34,10,1.26,4,0,1,0,7.16,medium,0
0,6.9,14,1.81,1,0,1,0,6.9,low,0
1,7.95,6,1.74,6,0,1,0,4.89,low,0
0,15.3,7,1.34,6,0,1,0,7.74,high,1
0,1.51,3,1.53,4,0,1,0,3.11,high,0
0,15.47,11,2.64,1,0,1,1,3.87,low,1
0,6.62,6,2.98,5,0,1,0,7.5,medium,1
0,19.17,6,1.99,6,1,1,1,3.49,medium,0
0,16.71,6,3.64,1,0,0,1,4.03,medium,1
0,15.27,14,2.34,1,0,0,1,4.01,medium,0
0,4.65,6,3.43,4,0,1,0,2.81,medium,1
0,18.91,4,2.37,2,0,1,1,1.49,high,1
0,16.62,11,2.83,5,0,1,0,4.99,high,1
0,7.81,11,1.54,4,0,1,0,7.8,medium,0
1,16.82,15,3.2,6,0,1,0,2.88,medium,1
0,3.68,15,2.23,6,1,1,0,7.94,high,0
0,18.13,6,4.0,5,0,0,0,7.55,medium,1
1,12.96,5,3.52,1,0,1,1,2.83,low,1
0,17.4,0,1.55,7,0,1,0,1.61,high,1
1,0.87,3,1.75,0,0,1,0,3.14,low,0
0,2.54,11,1.69,2,0,0,0,2.75,low,0
1,10.03,2,2.54,3,0,1,1,7.37,medium,0
0,11.2,10,3.07,4,0,0,1,2.09,low,0
0,15.02,8,3.11,6,0,0,0,1.04,high,1
0,14.16,3,3.75,1,0,0,0,3.82,low,1
0,14.56,15,1.96,0,0,1,0,4.0,medium,0
0,11.8,11,3.39,0,0,1,0,7.57,medium,1
0,1.33,7,1.81,2,0,1,0,2.38,medium,0
1,8.62,12,1.8,2,0,0,1,6.74,high,0
0,11.59,7,2.86,6,1,0,0,3.83,low,0
0,7.2,13,2.65,3,0,1,1,6.09,medium,0
0,10.78,7,2.86,2,0,1,0,2.89,high,1
1,7.23,5,1.31,7,0,1,0,3.34,medium,0
